city,population
ADANA,2263373
ADIYAMAN,632148
AFYONKARAHİSAR,744179
AĞRI,524644
AMASYA,335331
ANKARA,5747325
ANTALYA,2619832
ARTVİN,169543
AYDIN,1134031
BALIKESİR,1250610
BİLECİK,228334
BİNGÖL,283112
BİTLİS,352277
BOLU,320014
BURDUR,273716
BURSA,3147818
ÇANAKKALE,557276
ÇANKIRI,196515
ÇORUM,526282
DENİZLİ,1051056
DİYARBAKIR,1791373
EDİRNE,412115
ELAZIĞ,588088
ERZİNCAN,237351
ERZURUM,756893
ESKİŞEHİR,898369
GAZİANTEP,2130432
GİRESUN,450154
GÜMÜŞHANE,150119
HAKKARİ,278218
HATAY,1670712
ISPARTA,445678
MERSİN,1891145
İSTANBUL,15840900
İZMİR,4425789
KARS,281077
KASTAMONU,375592
KAYSERİ,1434357
KIRKLARELİ,366363
KIRŞEHİR,242944
KOCAELİ,2033441
KONYA,2277017
KÜTAHYA,578640
MALATYA,808692
MANİSA,1456626
KAHRAMANMARAŞ,1171298
MARDİN,862757
MUĞLA,1021141
MUŞ,405228
NEVŞEHİR,308003
NİĞDE,363725
ORDU,760872
RİZE,345662
SAKARYA,1060876
SAMSUN,1371274
SİİRT,331980
SİNOP,218408
SİVAS,636121
TEKİRDAĞ,1113400
TOKAT,602567
TRABZON,816684
TUNCELİ,83645
ŞANLIURFA,2143020
UŞAK,373183
VAN,1141015
YOZGAT,418500
ZONGULDAK,589684
AKSARAY,429069
BAYBURT,85042
KARAMAN,258838
KIRIKKALE,275968
BATMAN,626319
ŞIRNAK,546589
BARTIN,201711
ARDAHAN,94932
IĞDIR,203159
YALOVA,291001
KARABÜK,249287
KİLİS,145826
OSMANİYE,553012
DÜZCE,400976